         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q5SMH9,      38.40,  0.4050192,      15.19,  0.3493043,       0.00,  0.2741264,       4.64,  0.2186485,       0.00,  0.2175511,       8.02,  0.2215504,       1.27,  0.2353455, -0.0056921, -0.1978586,   237
         Q5SMH6,      36.93,  0.4042442,      35.29,  0.4655711,      43.46,  0.4917167,       6.54,  0.1972834,       5.23,  0.2195484,      16.01,  0.2897332,      16.01,  0.3446828, -0.0041593, -0.1751917,   306
         Q5SMH5,      54.39,  0.5259138,      49.91,  0.5273995,      56.64,  0.5142233,       6.17,  0.1786562,       2.62,  0.2041512,      21.31,  0.3631648,      27.10,  0.3855848, -0.1248182, -0.2118182,   535
         Q5SMH4,      18.60,  0.1895861,      15.12,  0.2008072,       0.00,  0.0984972,       5.81,  0.0660011,       0.00,  0.0079622,      32.56,  0.3635806,       9.30,  0.1379896,  0.1972543, -0.4540541,    86
         Q5SMH3,      20.85,  0.3051597,      15.33,  0.3190573,       9.80,  0.2547636,       2.01,  0.1415758,       0.00,  0.1395265,       6.28,  0.1964202,       1.26,  0.1836232,  0.0943356, -0.2426056,   398
         Q5SMH1,      22.22,  0.2924713,      12.22,  0.2763188,       0.00,  0.1094282,       9.44,  0.1803439,       1.11,  0.1554965,      12.22,  0.2159308,       6.67,  0.1867603,  0.1057426, -0.1742435,   180
         Q5SMG9,      33.00,  0.3907680,      35.64,  0.4288543,      16.17,  0.3513280,      10.56,  0.2583950,      10.23,  0.2746482,       9.24,  0.2780271,       4.29,  0.2717822,  0.0100660, -0.1728160,   303
         Q5SMG7,      17.14,  0.2210895,       3.67,  0.2222215,       0.00,  0.1170838,       0.82,  0.0431820,       0.00,  0.0278219,       5.31,  0.2122143,       1.22,  0.1210882,  0.1767629, -0.5003928,   245
         Q5SMG6,      37.30,  0.4140535,      19.29,  0.3387468,      18.97,  0.3086165,       5.47,  0.2001627,       6.43,  0.2287644,      11.25,  0.2407632,       3.54,  0.2370818, -0.0141288, -0.2874115,   311
         Q5SMG5,      26.32,  0.3555487,      28.95,  0.3774492,       0.00,  0.1661196,      23.68,  0.2256052,       0.00,  0.0847648,      47.37,  0.4944042,      10.53,  0.2562954,  0.0454794, -0.3186002,    38
         Q5SMG3,      36.36,  0.3861172,      27.27,  0.3597115,      27.27,  0.3302314,       9.09,  0.2148255,       5.45,  0.2068865,      14.55,  0.2695679,       2.42,  0.2395181,  0.0145304, -0.2411340,   165
         Q5SMG2,      43.75,  0.4520797,      35.68,  0.4190170,      38.02,  0.3897096,       6.25,  0.1861040,       6.25,  0.2232996,      11.46,  0.2864980,       6.25,  0.2611664, -0.0512105, -0.2895316,   384
         Q5SMG0,      43.50,  0.4081602,      43.50,  0.4470872,      38.00,  0.4256176,       5.00,  0.2011110,       3.50,  0.1772176,      26.00,  0.3308500,      13.00,  0.2607377, -0.0097574, -0.1570972,   200
         Q5SMF9,       5.79,  0.1140519,       4.74,  0.1535743,       0.00,  0.1137687,       2.63,  0.0332984,       0.00,  0.0101965,      10.53,  0.1651363,       2.11,  0.0793762,  0.2783741, -0.5857481,   190
         Q5SMF7,      26.25,  0.3358210,      21.26,  0.3041852,      18.64,  0.2563028,       1.31,  0.1309199,       0.00,  0.1299271,       9.19,  0.2091837,       1.57,  0.1850061,  0.0635379, -0.2825704,   381
         Q5SMF5,      34.19,  0.4197581,      15.38,  0.4009307,       8.55,  0.3444216,       9.40,  0.2566445,       5.13,  0.2607079,      23.93,  0.3313990,       6.84,  0.2782401, -0.0195566, -0.2584307,   117
         Q5SMF4,      45.97,  0.4631809,      30.24,  0.3748357,      35.89,  0.3797437,      12.10,  0.2161149,      10.89,  0.2180261,      10.89,  0.3094059,       6.45,  0.2635939, -0.0629671, -0.3244637,   248
         Q5SMF3,      36.31,  0.3610583,      20.20,  0.3077439,      12.37,  0.3005781,       1.55,  0.1502616,       2.27,  0.1569054,       4.19,  0.2150194,       0.55,  0.1984983,  0.0354787, -0.3959896,  1099
         Q5SMF2,      16.76,  0.2903374,      11.35,  0.2773882,       0.00,  0.1547958,       4.86,  0.1107519,       0.00,  0.0863502,      16.76,  0.2334806,       2.70,  0.1663847,  0.1062831, -0.2682983,   185
         Q5SMF1,      31.49,  0.3663444,      20.42,  0.3472564,      11.42,  0.3409296,       1.73,  0.1131592,       0.35,  0.1079982,       5.19,  0.2279368,       1.38,  0.1937825,  0.0331820, -0.2874044,   289
         Q5SMF0,      45.45,  0.4068331,      55.45,  0.4691164,      47.27,  0.4240185,       4.55,  0.1384200,       0.00,  0.0674979,      25.45,  0.3614147,       6.36,  0.2405471, -0.0115301, -0.3327561,   110
         Q5SME8,      63.24,  0.5850176,     100.00,  0.7205863,     100.00,  0.7449341,      19.12,  0.3425632,       0.00,  0.3180339,      54.41,  0.5903519,      69.12,  0.5502478, -0.1845515,  0.0675709,    68
         Q5SME6,      49.07,  0.4326234,      57.41,  0.5148707,      49.07,  0.4965318,      36.11,  0.4241156,      33.33,  0.4460700,      37.96,  0.4461013,      25.00,  0.3772968, -0.0316648, -0.0873594,   108
         Q5SME5,      38.82,  0.4016462,      19.08,  0.4175749,      16.45,  0.3641884,       7.24,  0.2927606,       0.66,  0.3189344,      13.16,  0.2555130,       2.63,  0.2810715, -0.0032048, -0.2608969,   152
         Q5SME4,       7.84,  0.1787076,      11.11,  0.2712832,       6.54,  0.2255588,       3.27,  0.1313104,       0.00,  0.0951171,      12.42,  0.2032906,       0.65,  0.1466181,  0.2198602, -0.2562771,   153
         Q5SMD9,      27.30,  0.3615101,      34.05,  0.4243976,      27.91,  0.3980043,       1.84,  0.1809363,       0.31,  0.1859584,       7.36,  0.2402527,       1.23,  0.2321759,  0.0389328, -0.2370318,   326
         Q5SMD8,      36.27,  0.3772105,      15.20,  0.3316781,       0.00,  0.2807657,       3.92,  0.1749295,       0.00,  0.1843519,      13.73,  0.2587085,       1.96,  0.2211464,  0.0235368, -0.2182990,   204
         Q5SMD6,      52.80,  0.4917807,      19.63,  0.3947306,      26.17,  0.4428444,       3.27,  0.2081977,       0.93,  0.2120061,      13.55,  0.3108746,       2.80,  0.2695983, -0.0927154, -0.1469373,   214
         Q5SMD5,      91.82,  0.7754427,      95.45,  0.8267669,      88.18,  0.6992680,       5.45,  0.3339095,       9.09,  0.3955084,      90.45,  0.6952458,      88.64,  0.6210237, -0.3699392,  0.0121694,   220
         Q5SMD4,     100.00,  0.8201566,     100.00,  0.9017463,     100.00,  0.9143689,      76.79,  0.6722946,      98.21,  0.7723403,     100.00,  0.8948347,     100.00,  0.8292903, -0.4162217,  0.0259799,    56
         Q5SMD2,      39.29,  0.4307221,      11.90,  0.3235177,      12.80,  0.3125682,       7.44,  0.1925810,       3.27,  0.2325086,       5.36,  0.2238525,       0.00,  0.2338637, -0.0316979, -0.2317290,   336
         Q5SMD1,       2.54,  0.0664110,       4.71,  0.1557838,       0.00,  0.1256665,       0.36,  0.0185083,       0.00,  0.0094334,       7.61,  0.1525761,       0.72,  0.0671188,  0.3241121, -0.5551944,   276
         Q5SMD0,      34.55,  0.4160186,      41.82,  0.4311607,      21.82,  0.3380470,       4.55,  0.1732000,       1.82,  0.1959397,      12.12,  0.2909070,       3.33,  0.2512044, -0.0171362, -0.1933162,   330
         Q5SMC9,      56.57,  0.5282774,      74.75,  0.6226860,      74.24,  0.6030654,      16.67,  0.2492813,      15.15,  0.2696646,      34.85,  0.4533231,      28.79,  0.4543830, -0.1282978, -0.2059422,   198
         Q5SMC6,      62.86,  0.5735874,      85.24,  0.6223835,      77.62,  0.5915039,      11.90,  0.2871728,      10.00,  0.3074130,      31.90,  0.4501674,      46.67,  0.4720379, -0.1725907, -0.1442451,   210
         Q5SMC4,      28.46,  0.3582979,      25.20,  0.3718034,      30.08,  0.3673494,       6.50,  0.1799642,       0.81,  0.1476235,      17.07,  0.3258895,       0.81,  0.2305965,  0.0407832, -0.1687763,   123
         Q5SMC3,      51.12,  0.5297961,      47.98,  0.4617266,      51.57,  0.5163481,       3.14,  0.1761031,       0.00,  0.1706894,      13.45,  0.3578886,      13.00,  0.3687586, -0.1285175, -0.1795342,   223
         Q5SMC2,      26.32,  0.3655510,      28.51,  0.3699861,      24.56,  0.3542818,       8.77,  0.1986663,       0.88,  0.1575775,      10.53,  0.2509179,      11.84,  0.2828302,  0.0362689, -0.2812408,   228
         Q5SMB9,      23.42,  0.3070995,      14.88,  0.3410687,      12.55,  0.2617038,       0.65,  0.1922062,       1.81,  0.2198522,       5.17,  0.1939758,       0.65,  0.2090338,  0.0917193, -0.1659718,   773
